record_number,code,band_size,scribe,bander,band_prefix,band_number,species_code,species_name,calendar_age,wrp_age,how_age,how_age2,sex,how_sex,how_sex2,eye_color,skull,bp,cp,fat,body_molt,ff_molt,ff_wear,juv_plg,pp_covs,gr_covs,primaries,secondaries,tertials,rectrices,body_plg,wing_chord,mass,day,month,year,capture_time,release_time,station,net_number,status,disposition,notes,comments,notes,,,,,
NULL,N,1A,EM,TB,2641,9331,WOTH,Wood Thrush,HY,FCF,M,NULL,U,NULL,NULL,DB,NULL,0,0,4,0,N,1,NULL,J,J,J,J,J,J,F,100,45.1,12,10,2021,845,915,CT,9,300,NULL,,,,,,,,
NULL,N,1A,SL,TB,2641,9332,GRCA,Gray Catbird,AHY,DCB,P,NULL,U,NULL,NULL,B,NULL,0,0,1,0,N,0,NULL,B,B,B,B,B,B,B,85,30.5,13,10,2021,645,715,CT,8,318,NULL,"Blood and feather sampled by Chris Sayers, Cornell Trace Mercury Study",,,,,,,
NULL,N,1A,RC,TB,2641,9333,WOTH,Wood Thrush,HY,FCF,P,L,U,NULL,NULL,DB,NULL,0,0,1,0,N,1,NULL,J,J,J,J,J,J,F,100,42,13,10,2021,715,742,CT,15,318,NULL,"Blood and feather sampled by Chris Sayers, Cornell Trace Mercury Study",,,,,,,
NULL,N,1A,SL,ZA,2641,9334,GRCA,Gray Catbird,HY,FCF,L,NULL,U,NULL,NULL,B,NULL,0,0,1,0,N,2,NULL,J,F,J,J,J,J,F,87,32.1,13,10,2021,745,903,CT,14,318,NULL,"Blood and feather sampled by Chris Sayers, Cornell Trace Mercury Study",,,,,,,
NULL,N,1A,FF,KH,2641,9335,GRCA,Gray Catbird,HY,FCF,L,NULL,U,NULL,NULL,B,NULL,0,0,0,0,N,1,NULL,J,L,J,J,J,J,F,91,36.3,13,10,2021,915,951,CT,15,300,NULL,,,,,,,,
NULL,R,1A,AS,LP,2641,9335,GRCA,Gray Catbird,HY,FCF,L,NULL,U,NULL,NULL,DB,NULL,0,0,2,0,N,1,NULL,J,L,J,J,J,J,F,91,37.5,19,10,2021,1505,1540,CT,1,300,NULL,"Feather sampled by Chris Sayers, Cornell Trace Mercury Study",,,,,,,
NULL,R,1A,JH,SHD,2641,9335,GRCA,Gray Catbird,HY,FCF,L,NULL,U,NULL,NULL,LB,NULL,0,0,1,0,N,1,NULL,J,L,J,J,J,J,F,90,37.8,7,11,2021,7:25,8:29,CT,15,300,NULL,,,,,,,,
NULL,R,1A,JW,EA,2641,9335,GRCA,Gray Catbird,HY,FCF,L,NULL,U,NULL,NULL,DB,NULL,0,0,2,1,N,2,NULL,J,L,J,J,J,J,F,91,45.1,10,11,2021,7:10,7:45,CT,18,300,NULL,P10-PPCOV=4.8,,,,,,,
NULL,N,1A,EM,KH,2641,9336,GRCA,Gray Catbird,HY,FCF,L,NULL,U,NULL,NULL,B,NULL,0,0,0,0,N,1,NULL,J,F,J,J,J,J,F,96,30.3,14,10,2021,615,703,CT,23,300,NULL," Feather sampled by Chris Sayers, Cornell Trace Mercury Study",,,,,,,
NULL,R,1A,TB,SL,2641,9336,GRCA,Gray Catbird,HY,FCF,L,NULL,U,NULL,NULL,DB,NULL,0,0,2,0,N,1,NULL,J,L,J,J,J,J,F,86,36.5,21,10,2021,1600,1612,CT,16,300,NULL,,,,,,,,
